,Passengers,mean,mean_se,mean_ci_lower,mean_ci_upper
2023-02-18,18618.0,,,,
2023-02-19,25274.0,,,,
2023-02-20,29447.0,,,,
2023-02-21,23812.0,,,,
2023-02-22,22493.0,,,,
2023-02-23,26873.0,,,,
2023-02-24,27787.0,,,,
2023-02-25,19042.0,,,,
2023-02-26,28244.0,,,,
2023-02-27,25284.0,,,,
2023-02-28,19709.0,,,,
2023-03-01,23475.0,,,,
2023-03-02,26945.0,,,,
2023-03-03,26786.0,,,,
2023-03-04,18853.0,,,,
2023-03-05,29103.0,,,,
2023-03-06,26017.0,,,,
2023-03-07,21834.0,,,,
2023-03-08,27501.0,,,,
2023-03-09,32612.0,,,,
2023-03-10,35331.0,,,,
2023-03-11,29176.0,,,,
2023-03-12,34078.0,,,,
2023-03-13,34868.0,,,,
2023-03-14,30651.0,,,,
2023-03-15,30825.0,,,,
2023-03-16,27735.0,,,,
2023-03-17,26181.0,,,,
2023-03-18,23954.0,,,,
2023-03-19,30638.0,,,,
2023-03-20,25933.0,,,,
2023-03-21,19247.0,,,,
2023-03-22,22211.0,,,,
2023-03-23,26320.0,,,,
2023-03-24,26674.0,,,,
2023-03-25,19581.0,,,,
2023-03-26,30809.0,,,,
2023-03-27,28982.0,,,,
2023-03-28,22259.0,,,,
2023-03-29,25777.0,,,,
2023-03-30,29585.0,,,,
2023-03-31,27675.0,,,,
2023-04-01,20662.0,,,,
2023-04-02,30040.0,,,,
2023-04-03,27605.0,,,,
2023-04-04,23283.0,,,,
2023-04-05,25564.0,,,,
2023-04-06,30312.0,,,,
2023-04-07,28839.0,,,,
2023-04-08,18977.0,,,,
2023-04-09,27266.0,,,,
2023-04-10,28510.0,,,,
2023-04-11,23137.0,,,,
2023-04-12,23261.0,,,,
2023-04-13,28759.0,,,,
2023-04-14,30063.0,,,,
2023-04-15,22812.0,,,,
2023-04-16,33094.0,,,,
2023-04-17,34796.0,,,,
2023-04-18,25473.0,,,,
2023-04-19,25989.0,,,,
2023-04-20,29824.0,,,,
2023-04-21,29923.0,,,,
2023-04-22,20851.0,,,,
2023-04-23,33143.0,,,,
2023-04-24,31666.0,,,,
2023-04-25,22774.0,,,,
2023-04-26,24370.0,,,,
2023-04-27,30083.0,,,,
2023-04-28,31213.0,,,,
2023-04-29,24727.0,,,,
2023-04-30,31821.0,,,,
2023-05-01,30746.0,,,,
2023-05-02,24080.0,,,,
2023-05-03,25913.0,,,,
2023-05-04,30239.0,,,,
2023-05-05,29947.0,,,,
2023-05-06,20413.0,,,,
2023-05-07,33776.0,,,,
2023-05-08,30228.0,,,,
2023-05-09,24602.0,,,,
2023-05-10,27721.0,,,,
2023-05-11,31552.0,,,,
2023-05-12,31356.0,,,,
2023-05-13,20762.0,,,,
2023-05-14,,31376.8873943165,2990.561813297995,25515.493946711635,37238.28084192137
2023-05-15,,31097.10375211118,3453.183718222985,24328.988032394016,37865.21947182834
2023-05-16,,24518.728706731403,3491.260859067047,17675.98316232562,31361.474251137184
2023-05-17,,26241.032002116,3639.1763467059122,19108.377429182365,33373.686575049636
2023-05-18,,30595.18603631314,3860.044713205426,23029.637419716266,38160.73465291002
2023-05-19,,30878.488417340723,4016.7609254396234,23005.781668971285,38751.19516571016
2023-05-20,,22506.483833925777,4155.399136468572,14362.051185058535,30650.916482793018
2023-05-21,,31885.92351132969,4449.0933018326305,23165.86087587934,40605.98614678004
2023-05-22,,30847.775504497884,4662.932440188045,21708.595859385845,39986.95514960992
2023-05-23,,24647.20264287181,4812.247079648361,15215.371682052968,34079.03360369065
2023-05-24,,26492.576347963466,4977.241086490984,16737.363076068126,36247.789619858806
2023-05-25,,30729.861614710488,5148.277814597264,20639.422515693273,40820.3007137277
2023-05-26,,31002.771238235404,5306.832101267823,20601.571447749455,41403.97102872135
2023-05-27,,22781.199990611323,5458.817852737488,12082.113601081575,33480.28638014107
2023-05-28,,32112.003220922652,5697.883965777833,20944.355859909847,43279.65058193546
2023-05-29,,31018.21230285067,5889.064023543593,19475.858914054683,42560.565691646654
2023-05-30,,24838.61402107175,6040.89987045376,12998.667840769702,36678.560201373795
2023-05-31,,26696.275214074565,6202.163317391307,14540.25848575214,38852.29194239699
2023-06-01,,30926.13498487264,6366.191490787625,18448.628944243537,43403.64102550174
2023-06-02,,31196.71769295287,6521.63666134296,18414.544716464625,43978.89066944111
2023-06-03,,22977.49535275188,6672.286113502914,9900.054875739437,36054.93582976433
2023-06-04,,32308.608816154367,6900.8281648235,18783.23414960067,45833.98348270806
2023-06-05,,31214.13378122955,7087.526869178436,17322.83637817989,45105.43118427921
2023-06-06,,25034.545457558223,7239.248044611217,10845.880014968227,39223.21090014822
2023-06-07,,26892.392020996624,7399.904593486746,12388.845528730091,41395.93851326316
2023-06-08,,31122.22342827238,7563.392201404369,16298.247112568703,45946.19974397606
2023-06-09,,31392.75945847542,7719.316579809462,16263.176976785962,46522.34194016487
2023-06-10,,23173.551318540915,7871.076221905042,7746.525404037433,38600.577233044394
2023-06-11,,32504.67555938075,8094.710940112884,16639.333651497138,48370.01746726436
2023-06-12,,31410.195157099923,8280.526511837108,15180.661420870108,47639.72889332974
